,terms
25984,embolism internal orthopedic prosthetic devices implants grafts sequela
25985,intravaginal torsion spermatic cord
25986,myringotomy tubes status
25987,chronic suppurative otitis media bilateral
25988,crohn's disease unspecified complications
25989,nondisplaced subtrochanteric fracture femur fracture malunion
25990,activity
25991,congenital ichthyosis unspecified
25992,nondisplaced fracture avulsion medial epicondyle humerus fracture malunion
25993,salter-harris physeal fracture radius unspecified arm fracture
25994,nondisplaced transcondylar fracture humerus fracture nonunion
25995,minor laceration inferior vena cava sequela
25996,disorder ligament hip
25997,cerebral infarction embolism basilar artery
25998,stress fracture unspecified fingers sequela
25999,polydipsia
26000,injury unspecified fascia tendon wrist hand unspecified hand
26001,passenger bus injured collision pick-up truck van nontraffic accident sequela
26002,Hematocrit drop post cardiac catheterization
26003,corns callosities
26004,periprosthetic osteolysis internal prosthetic joint
26005,candidal sepsis
26006,laceration vein forearm unspecified arm
26007,spontaneous rupture flexor tendons arm
26008,injury pleura
26009,unspecified fracture shaft unspecified ulna fracture iiia iiib iiic healing
26010,very personal hygiene
26011,fall scooter nonmotorized sequela
26012,intermittent exophthalmos eye
26013,displaced avulsion fracture tuberosity calcaneus sequela
26014,torus fracture humerus fracture nonunion
26015,Status post reduction
26016,unspecified abdominal hernia gangrene
26017,unspecified injury extensor fascia tendon unspecified thumb wrist hand sequela
26018,spondylosis myelopathy thoracic region
26019,terrorism destruction aircraft civilian injured
26020,laceration superficial vein shoulder arm arm sequela
26021,dislocation unspecified patella
26022,water transport accident sequela
26023,nondisplaced fracture medial cuneiform foot sequela
26024,idiopathic chronic gout unspecified shoulder tophus tophi
26025,fracture patella fracture iiia iiib iiic malunion
26026,injury median nerve wrist hand unspecified arm
26027,displaced transverse fracture shaft unspecified fibula fracture
26028,presence otological audiological implant unspecified
26029,stress fracture foot fracture malunion
26030,unequal limb length acquired unspecified ulna radius
26031,breakdown implanted electronic neurostimulator brain electrode sequela
26032,pedal cyclist driver passenger injured specified transport accidents sequela
26033,Left pleural effusion
26034,swimming-pool mobile home place occurrence
26035,apraxia nontraumatic intracranial hemorrhage
26036,pneumococcal polyarthritis
26037,corrosion unspecified degree toes nail sequela
26038,unspecified occupant pick-up truck van injured collision two- three-wheeled nontraffic accident
26039,cellulitis abdominal
26040,spotted fever rickettsia australis
26041,nondisplaced segmental fracture shaft humerus arm fracture
26042,bitten stung nonvenomous insect nonvenomous arthropods
26043,displaced supracondylar fracture intracondylar extension femur sequela
26044,laceration muscles tendons posterior leg leg sequela
26045,chronic myelomonocytic leukemia remission
26046,pathological fracture disease foot fracture malunion
26047,exposure specified smoke fire flames sequela
26048,juvenile osteochondrosis spine lumbar region
26049,terrorism explosions fragments public safety official injured sequela
26050,complication intraocular lens
26051,coma scale best response obeys commands field
26052, hyponatremia
26053,cerebral venous thrombosis pregnancy trimester
26054,dipylidiasis
26055,fusion spine cervical region
26056,zoster conjunctivitis
26057,cysts unspecified eye unspecified eyelid
26058,toxic effect unspecified assault sequela
26059,heat cramp sequela
26060,malignant neoplasm posterior mediastinum
26061,unspecified injury intra-abdominal organs sequela
26062,disruption internal operation surgical wound sequela
26063,anterior dislocation humerus sequela
26064,corrosion unspecified degree unspecified shoulder sequela
26065,follicular lymphoma intrathoracic lymph nodes
26066,adverse effect primarily respiratory sequela
26067,displaced segmental fracture shaft ulna unspecified arm fracture iiia iiib iiic malunion
26068,disorders branched-chain amino-acid metabolism
26069,thrombosis atrium auricular appendage ventricle complications acute myocardial infarction
26070,neonatal cerebral irritability
26071,congenital absence forearm hand bilateral
26072,secondary gout unspecified knee
26073,specified injury unspecified jugular vein
26074,unspecified occupant special all-terrain off-road injured nontraffic accident
26075, cirrhosis hypoxic
26076,person boarding alighting three-wheeled injured collision pedal cycle
26077,conductive sensorineural hearing loss unspecified
26078,burn degree scapular region sequela
26079,unspecified juvenile rheumatoid arthritis sites
26080,reiter's disease elbow
26081,blood protozoa assault sequela
26082,foreign body alimentary tract unspecified sequela
26083,retained intraocular foreign body nonmagnetic sites unspecified eye
26084,contusion rectum
26085,nondisplaced fracture tuberosity unspecified calcaneus fracture healing
26086,complication internal orthopedic devices implants grafts sequela
26087,inappropriate excessive parental pressure
26088,burn unspecified degree neck
26089,New subclavian line placement
26090,malignant neoplasm branchial cleft
26091,specified diabetes mellitus diabetic arthropathy
26092,unspecified injury inferior mesenteric artery
26093,laceration bronchus unspecified
26094,laceration foreign body little finger damage nail
26095,personal malignant neoplasm thymus
26096,unspecified injury internal jugular vein
26097,merkel cell carcinoma scalp neck
26098,punctate keratitis eye
26099,physeal fracture ulna unspecified arm fracture
26100,displaced fracture posterior column ilioischial acetabulum fracture
26101,vomiting newborn
26102,ulcerative chronic pancolitis rectal bleeding
26103,traumatic rupture unspecified ear drum
26104,specified pelvic inflammatory diseases
26105,person boarding alighting injured collision transport bus
26106,paving stone degeneration retina eye
26107,Hemoptysis
26108,bite unspecified finger damage nail
26109,person outside transport injured collision railway train railway traffic accident sequela
26110,intraoperative complications eye adnexa
26111, DKA
26112,displaced fracture navicular scaphoid unspecified foot fracture nonunion
26113,breakdown balloon counterpulsation device
26114,insect bite nonvenomous unspecified shoulder
26115,nondisplaced transverse fracture shaft unspecified tibia fracture malunion
26116,pathological fracture unspecified humerus fracture healing
26117,nondisplaced fracture proximal phalanx lesser toes fracture nonunion
26118,chondromalacia patellae unspecified knee
26119,nondisplaced oblique fracture shaft unspecified ulna fracture malunion
26120,unspecified fracture shaft unspecified ulna fracture malunion
26121,bitten alligator sequela
26122,displaced fracture head unspecified radius fracture iiia iiib iiic
26123,chronic hematogenous osteomyelitis humerus
26124,specified disorders bone thigh
26125,persistent atrial fibrillation
26126,infection unspecified sequela
26127,constriction throat
26128,displaced fracture base unspecified metacarpal bone sequela
26129,specified salmonella infections
26130,person boarding alighting injured collision sequela
26131,bite unspecified knee sequela
26132,benign neoplasm cecum
26133,abrasion lip sequela
26134,acute pulmonary edema
26135,specified injury vertebral artery
26136,unstable burst fracture cervical vertebra fracture
26137,war operations unspecified explosion fragments military personnel
26138,unspecified spontaneous abortion complications
26139,suspected fetal anomaly ruled out
26140,specified arthritis elbow
26141,drug-induced chronic gout sites tophus tophi
26142,localized traumatic opacities eye
26143,japanese encephalitis
26144,driver fire engine injured traffic accident sequela
26145,unspecified wound unspecified thigh
26146,unspecified wound gland
26147,autoimmune thyroiditis
26148,presbycusis unspecified ear
26149,colles' fracture radius fracture healing
26150,rider nonpowered watercraft struck nonpowered watercraft sequela
26151,cracked nipple pregnancy unspecified trimester
26152,nondisplaced fracture unspecified tibial spine fracture malunion
26153,polyglandular dysfunction
26154,displaced fracture lateral condyle tibia fracture iiia iiib iiic
26155,primary amenorrhea
26156,spontaneous rupture extensor tendons shoulder
26157,cystitis unspecified hematuria
26158,congenital malformation tricuspid valve unspecified
26159,adverse effect unspecified antiparasitic
26160,basal cell carcinoma skin limb hip
26161,torus fracture unspecified humerus sequela
26162,puncture wound foreign body abdominal epigastric region penetration peritoneal cavity sequela
26163,displaced fracture pisiform wrist fracture healing
26164,panniculitis affecting regions neck back lumbosacral region
26165,malocclusion unspecified
26166,stress fracture fibula fracture nonunion
26167,unspecified injury blood vessels ankle foot unspecified leg
26168,maternal intrauterine death fetus
26169,specified injury blood vessels ankle foot unspecified leg
26170,toxic liver disease chronic persistent hepatitis
26171,pruritus vulvae
26172,vesicointestinal fistula
26173,secondary gout unspecified shoulder
26174,periprosthetic osteolysis internal prosthetic hip joint sequela
26175,unspecified chronic otitis externa unspecified ear
26176,accidental drowning submersion while bath-tub
26177,contracture knee
26178,chronic dacryocystitis unspecified lacrimal passage
26179,acute nonsuppurative otitis media unspecified ear
26180,unspecified fracture leg fracture healing
26181,congenital prolapse urinary meatus
26182,atherosclerosis bypass grafts extremities intermittent claudication unspecified extremity
